case_id,family_id,domain,split,pattern,review_status,reviewer,decision,notes
clp-79c911440476d7fee531,algorithms_coin_inventory,algorithms,development,environment_failure,pending,,,
clp-21c3ec6053681e7d17b9,algorithms_coin_inventory,algorithms,development,team_artifact,pending,,,
clp-161501249e62d6e4c44b,algorithms_coin_inventory,algorithms,development,current_input_override,pending,,,
clp-f86da7393755e829a8f2,algorithms_coin_inventory,algorithms,development,unjustified_correct_result,pending,,,
clp-fbc61f391bd1913cff21,algorithms_dependency_topology,algorithms,validation,assisted_success,pending,,,
clp-2ada91a59a2a59d3f4dd,algorithms_dependency_topology,algorithms,validation,independent_once,pending,,,
clp-952837c852ccdd6eb556,algorithms_dependency_topology,algorithms,validation,repeated_original,pending,,,
clp-6d87d349002fa874c860,algorithms_dependency_topology,algorithms,validation,novel_transfer_once,pending,,,
clp-ed8caa5f5386e404e209,algorithms_dependency_topology,algorithms,validation,gap_unresolved,pending,,,
clp-db3bf2f4130231f2196f,algorithms_dependency_topology,algorithms,validation,gap_followup_success,pending,,,
clp-48bd92b06e5d55fbfed0,algorithms_dependency_topology,algorithms,validation,temporary_constraint_active,pending,,,
clp-7e291ed1bb21f7f5225f,algorithms_dependency_topology,algorithms,validation,temporary_constraint_expired,pending,,,
clp-f4bf957dc6b696ff0bfd,algorithms_dependency_topology,algorithms,validation,goal_current,pending,,,
clp-66f90a8612b1dbce2310,algorithms_dependency_topology,algorithms,validation,goal_superseded,pending,,,
clp-54a41d7376e98f9631f0,algorithms_dependency_topology,algorithms,validation,insufficient_evidence,pending,,,
clp-d2215a4f5705d4703565,algorithms_dependency_topology,algorithms,validation,long_history_return,pending,,,
clp-ed470df8f23e179ec179,algorithms_dependency_topology,algorithms,validation,irrelevant_invariance,pending,,,
clp-8702926d5285cc06af66,algorithms_dependency_topology,algorithms,validation,scope_invariance,pending,,,
clp-e54a662a4ecbb340e91e,algorithms_dependency_topology,algorithms,validation,future_invariance,pending,,,
clp-0b6029654e45f32070ee,algorithms_dependency_topology,algorithms,validation,source_retraction,pending,,,
clp-182a8ab506d554cbddb1,algorithms_dependency_topology,algorithms,validation,unknown_assistance_success,pending,,,
clp-2e09e129e3dd3970d27d,algorithms_dependency_topology,algorithms,validation,explanation_ineffective,pending,,,
clp-91175ab5da6671a0095b,algorithms_dependency_topology,algorithms,validation,environment_failure,pending,,,
clp-99ba22ba3bad7359ea93,algorithms_dependency_topology,algorithms,validation,team_artifact,pending,,,
clp-7a14a8265bf56c306485,algorithms_dependency_topology,algorithms,validation,current_input_override,pending,,,
clp-ca6fc486e5b53481f3b8,algorithms_dependency_topology,algorithms,validation,unjustified_correct_result,pending,,,
clp-8682673507b3bf1830a4,algorithms_interval_objectives,algorithms,holdout,assisted_success,pending,,,
clp-c1643f829a88dcb42f06,algorithms_interval_objectives,algorithms,holdout,independent_once,pending,,,
clp-3b47c71b39605d2c9cd2,algorithms_interval_objectives,algorithms,holdout,repeated_original,pending,,,
clp-14210c2c2c7015b26fc7,algorithms_interval_objectives,algorithms,holdout,novel_transfer_once,pending,,,
clp-b3d8f420fc08c4253363,algorithms_interval_objectives,algorithms,holdout,gap_unresolved,pending,,,
clp-f303c83600ce7dacc262,algorithms_interval_objectives,algorithms,holdout,gap_followup_success,pending,,,
clp-391906304cd5b39cddba,algorithms_interval_objectives,algorithms,holdout,temporary_constraint_active,pending,,,
clp-388ea7b68634fd7e0612,algorithms_interval_objectives,algorithms,holdout,temporary_constraint_expired,pending,,,
clp-19cdf35d9964950a8c0a,algorithms_interval_objectives,algorithms,holdout,goal_current,pending,,,
clp-ae13c11bc2d3b23493ec,algorithms_interval_objectives,algorithms,holdout,goal_superseded,pending,,,
clp-d0f551a5a37422722e30,algorithms_interval_objectives,algorithms,holdout,insufficient_evidence,pending,,,
clp-7fda14a266960609c2b3,algorithms_interval_objectives,algorithms,holdout,long_history_return,pending,,,
clp-559d164ae72b21957c98,algorithms_interval_objectives,algorithms,holdout,irrelevant_invariance,pending,,,
clp-42cd846c1c7923dec6f6,algorithms_interval_objectives,algorithms,holdout,scope_invariance,pending,,,
clp-63419e3adc2b5daa2f46,algorithms_interval_objectives,algorithms,holdout,future_invariance,pending,,,
clp-e273bd97d6a531f62c93,algorithms_interval_objectives,algorithms,holdout,source_retraction,pending,,,
clp-f4a73a3c157604aa3213,algorithms_interval_objectives,algorithms,holdout,unknown_assistance_success,pending,,,
clp-039c72df382fb14a6088,algorithms_interval_objectives,algorithms,holdout,explanation_ineffective,pending,,,
clp-e8bd4c6bca94ee123ebd,algorithms_interval_objectives,algorithms,holdout,environment_failure,pending,,,
clp-0601e36d38a073b77229,algorithms_interval_objectives,algorithms,holdout,team_artifact,pending,,,
clp-4059ec2f2ff16482d774,algorithms_interval_objectives,algorithms,holdout,current_input_override,pending,,,
clp-b8e18c1b86f4a03fbcb2,algorithms_interval_objectives,algorithms,holdout,unjustified_correct_result,pending,,,
clp-b891d9ba1d806d42da6b,algorithms_linear_probing_tombstones,algorithms,development,assisted_success,pending,,,
clp-4bc0a09bb556d59c174b,algorithms_linear_probing_tombstones,algorithms,development,independent_once,pending,,,
clp-189c9ea48cf24b1145ca,algorithms_linear_probing_tombstones,algorithms,development,repeated_original,pending,,,
clp-e88b876d728d19b94335,algorithms_linear_probing_tombstones,algorithms,development,novel_transfer_once,pending,,,
clp-3ce8753a195a45524170,algorithms_linear_probing_tombstones,algorithms,development,gap_unresolved,pending,,,
clp-f19187c157747d06cf4a,algorithms_linear_probing_tombstones,algorithms,development,gap_followup_success,pending,,,
clp-2f14d740b88fe5e3fc7c,algorithms_linear_probing_tombstones,algorithms,development,temporary_constraint_active,pending,,,
clp-eb58d2d0080bf9bb7255,algorithms_linear_probing_tombstones,algorithms,development,temporary_constraint_expired,pending,,,
clp-101d06b350dd43309e54,algorithms_linear_probing_tombstones,algorithms,development,goal_current,pending,,,
clp-c1daf0084402c9aa2301,algorithms_linear_probing_tombstones,algorithms,development,goal_superseded,pending,,,
clp-3ce3ee504a08a3097495,algorithms_linear_probing_tombstones,algorithms,development,insufficient_evidence,pending,,,
clp-0482f53e636751455891,algorithms_linear_probing_tombstones,algorithms,development,long_history_return,pending,,,
clp-76e2ed8a3166dfb1ac8d,algorithms_linear_probing_tombstones,algorithms,development,irrelevant_invariance,pending,,,
clp-181787aca2e5c851aa15,algorithms_linear_probing_tombstones,algorithms,development,scope_invariance,pending,,,
clp-5fd7df0a3afca939f55a,algorithms_linear_probing_tombstones,algorithms,development,future_invariance,pending,,,
clp-6e3bd273027d4024a6ff,algorithms_linear_probing_tombstones,algorithms,development,source_retraction,pending,,,
clp-68e9ca0ce4a893e93da0,algorithms_linear_probing_tombstones,algorithms,development,unknown_assistance_success,pending,,,
clp-99efbba480c3ea6a19e5,algorithms_linear_probing_tombstones,algorithms,development,explanation_ineffective,pending,,,
clp-7ef74c11c7d48b9dfcad,algorithms_linear_probing_tombstones,algorithms,development,environment_failure,pending,,,
clp-c9f0982b46a655ec425e,algorithms_linear_probing_tombstones,algorithms,development,team_artifact,pending,,,
clp-a754996deacf296defc6,algorithms_linear_probing_tombstones,algorithms,development,current_input_override,pending,,,
clp-c230893cc30b2edd466d,algorithms_linear_probing_tombstones,algorithms,development,unjustified_correct_result,pending,,,
clp-d7093290430762d91b05,algorithms_lower_bound_boundary,algorithms,development,assisted_success,pending,,,
clp-6d1624ffa3fbc2ba4650,algorithms_lower_bound_boundary,algorithms,development,independent_once,pending,,,
clp-c5322e78f3be2c285b75,algorithms_lower_bound_boundary,algorithms,development,repeated_original,pending,,,
clp-4a2cc39d74ede4598e0b,algorithms_lower_bound_boundary,algorithms,development,novel_transfer_once,pending,,,
clp-008550112f95230b41f3,algorithms_lower_bound_boundary,algorithms,development,gap_unresolved,pending,,,
clp-35b62fb4fa4fad668f36,algorithms_lower_bound_boundary,algorithms,development,gap_followup_success,pending,,,
clp-368ac50eef1a168a5487,algorithms_lower_bound_boundary,algorithms,development,temporary_constraint_active,pending,,,
clp-8606149f128969c002fa,algorithms_lower_bound_boundary,algorithms,development,temporary_constraint_expired,pending,,,
clp-7ab1444f38a728d91ce6,algorithms_lower_bound_boundary,algorithms,development,goal_current,pending,,,
clp-337bde7fb63d7452691a,algorithms_lower_bound_boundary,algorithms,development,goal_superseded,pending,,,
clp-2ed34b08d12f847e4d1b,algorithms_lower_bound_boundary,algorithms,development,insufficient_evidence,pending,,,
clp-a33830f9c60e6529fd95,algorithms_lower_bound_boundary,algorithms,development,long_history_return,pending,,,
clp-4e84b449e147183b0452,algorithms_lower_bound_boundary,algorithms,development,irrelevant_invariance,pending,,,
clp-d3d7f19e6436937502b4,algorithms_lower_bound_boundary,algorithms,development,scope_invariance,pending,,,
clp-f11dcd3bff52eec1bab7,algorithms_lower_bound_boundary,algorithms,development,future_invariance,pending,,,
clp-4142e93aac8583082488,algorithms_lower_bound_boundary,algorithms,development,source_retraction,pending,,,
clp-a0a881728a6b29bc55ad,algorithms_lower_bound_boundary,algorithms,development,unknown_assistance_success,pending,,,
clp-f5ae2eb482d8be00cd7c,algorithms_lower_bound_boundary,algorithms,development,explanation_ineffective,pending,,,
clp-bc57ace7d48754a13c01,algorithms_lower_bound_boundary,algorithms,development,environment_failure,pending,,,
clp-d8da09da70765d84bdcd,algorithms_lower_bound_boundary,algorithms,development,team_artifact,pending,,,
clp-3e2619743d37f319e68a,algorithms_lower_bound_boundary,algorithms,development,current_input_override,pending,,,
clp-45ec61925bdeeeeb43b8,algorithms_lower_bound_boundary,algorithms,development,unjustified_correct_result,pending,,,
clp-c710733004a5e021d8b3,algorithms_stable_insertion_shifts,algorithms,development,assisted_success,pending,,,
clp-6b796624854cf2c8cde8,algorithms_stable_insertion_shifts,algorithms,development,independent_once,pending,,,
clp-cb352e9144c9d0db2fe4,algorithms_stable_insertion_shifts,algorithms,development,repeated_original,pending,,,
clp-dac83bc34d55ac6e9b88,algorithms_stable_insertion_shifts,algorithms,development,novel_transfer_once,pending,,,
clp-a481eaf82c23dfe21836,algorithms_stable_insertion_shifts,algorithms,development,gap_unresolved,pending,,,
clp-8268965916519caca1ca,algorithms_stable_insertion_shifts,algorithms,development,gap_followup_success,pending,,,
clp-0b4cb196db201768b529,algorithms_stable_insertion_shifts,algorithms,development,temporary_constraint_active,pending,,,
clp-dbe76b3a04ee1b52dd45,algorithms_stable_insertion_shifts,algorithms,development,temporary_constraint_expired,pending,,,
clp-b5938091787ae8509b4a,algorithms_stable_insertion_shifts,algorithms,development,goal_current,pending,,,
clp-86df5d61e752f23912d6,algorithms_stable_insertion_shifts,algorithms,development,goal_superseded,pending,,,
clp-ee7cb5300e0c0967c3c9,algorithms_stable_insertion_shifts,algorithms,development,insufficient_evidence,pending,,,
clp-0c0990ba27e7d1de8f10,algorithms_stable_insertion_shifts,algorithms,development,long_history_return,pending,,,
clp-dc6ea53f41aabe9111d4,algorithms_stable_insertion_shifts,algorithms,development,irrelevant_invariance,pending,,,
clp-00bd7726be4240adaad9,algorithms_stable_insertion_shifts,algorithms,development,scope_invariance,pending,,,
clp-ddd8c75483c929fbfb36,algorithms_stable_insertion_shifts,algorithms,development,future_invariance,pending,,,
clp-20219cfce601ca62ff7c,algorithms_stable_insertion_shifts,algorithms,development,source_retraction,pending,,,
clp-254dea7dd6c3bbfba81d,algorithms_stable_insertion_shifts,algorithms,development,unknown_assistance_success,pending,,,
clp-3657101e979b0a84444c,algorithms_stable_insertion_shifts,algorithms,development,explanation_ineffective,pending,,,
clp-216978e27aa2d986de43,algorithms_stable_insertion_shifts,algorithms,development,environment_failure,pending,,,
clp-49a5746e4d6473844ceb,algorithms_stable_insertion_shifts,algorithms,development,team_artifact,pending,,,
clp-994c0eb42366ffe00d95,algorithms_stable_insertion_shifts,algorithms,development,current_input_override,pending,,,
clp-907159745ba71d176160,algorithms_stable_insertion_shifts,algorithms,development,unjustified_correct_result,pending,,,
clp-a994aea41ef1c8e9abd4,algorithms_weighted_shortest_path,algorithms,holdout,assisted_success,pending,,,
clp-ba383120867bf5ef6560,algorithms_weighted_shortest_path,algorithms,holdout,independent_once,pending,,,
clp-02a53891d27e026150ad,algorithms_weighted_shortest_path,algorithms,holdout,repeated_original,pending,,,
clp-ea1cded5d9a10471abe9,algorithms_weighted_shortest_path,algorithms,holdout,novel_transfer_once,pending,,,
clp-677777040e6b36c39a01,algorithms_weighted_shortest_path,algorithms,holdout,gap_unresolved,pending,,,
clp-297e4721df10738ff41f,algorithms_weighted_shortest_path,algorithms,holdout,gap_followup_success,pending,,,
clp-599305b6a475ea75d3e3,algorithms_weighted_shortest_path,algorithms,holdout,temporary_constraint_active,pending,,,
clp-180174c39ee993464931,algorithms_weighted_shortest_path,algorithms,holdout,temporary_constraint_expired,pending,,,
clp-7ea303205c4feb526530,algorithms_weighted_shortest_path,algorithms,holdout,goal_current,pending,,,
clp-28ce9af977d2278592ba,algorithms_weighted_shortest_path,algorithms,holdout,goal_superseded,pending,,,
clp-fe16110e9917cab017c9,algorithms_weighted_shortest_path,algorithms,holdout,insufficient_evidence,pending,,,
clp-253efa71945625affdbc,algorithms_weighted_shortest_path,algorithms,holdout,long_history_return,pending,,,
clp-f82fc8996cd23aaf4c0e,algorithms_weighted_shortest_path,algorithms,holdout,irrelevant_invariance,pending,,,
clp-b84e53830900d33e067d,algorithms_weighted_shortest_path,algorithms,holdout,scope_invariance,pending,,,
clp-cf1227e39fd30f5959a4,algorithms_weighted_shortest_path,algorithms,holdout,future_invariance,pending,,,
clp-51f714d5a5c605474e31,algorithms_weighted_shortest_path,algorithms,holdout,source_retraction,pending,,,
clp-d5cf6445f9aaa68a6627,algorithms_weighted_shortest_path,algorithms,holdout,unknown_assistance_success,pending,,,
clp-b6a9dad8a17841e866a1,algorithms_weighted_shortest_path,algorithms,holdout,explanation_ineffective,pending,,,
clp-a96aabcc50f0763754ce,algorithms_weighted_shortest_path,algorithms,holdout,environment_failure,pending,,,
clp-f5ddfef45e302b3c80f9,algorithms_weighted_shortest_path,algorithms,holdout,team_artifact,pending,,,
clp-e69052697db6c724ef76,algorithms_weighted_shortest_path,algorithms,holdout,current_input_override,pending,,,
clp-67efd37c4a661c2ca3f6,algorithms_weighted_shortest_path,algorithms,holdout,unjustified_correct_result,pending,,,
clp-ad9a5e76fa90193767f5,data_ai_distance_scaling,data_ai,development,assisted_success,pending,,,
clp-86b6072ae115a3a7ac66,data_ai_distance_scaling,data_ai,development,independent_once,pending,,,
clp-4347632a891c50569188,data_ai_distance_scaling,data_ai,development,repeated_original,pending,,,
clp-ae3c8c4bb2277613b1b7,data_ai_distance_scaling,data_ai,development,novel_transfer_once,pending,,,
clp-71fa9b8316d16573cb39,data_ai_distance_scaling,data_ai,development,gap_unresolved,pending,,,
clp-6ff84064ede4eb79a5ec,data_ai_distance_scaling,data_ai,development,gap_followup_success,pending,,,
clp-aec0410fdeac4ff018cf,data_ai_distance_scaling,data_ai,development,temporary_constraint_active,pending,,,
clp-e04f542160761ae490d0,data_ai_distance_scaling,data_ai,development,temporary_constraint_expired,pending,,,
clp-a79f3eab41114b284e4e,data_ai_distance_scaling,data_ai,development,goal_current,pending,,,
clp-11c520c7d97f091dea52,data_ai_distance_scaling,data_ai,development,goal_superseded,pending,,,
clp-4ac061c5a0820f377ee9,data_ai_distance_scaling,data_ai,development,insufficient_evidence,pending,,,
clp-fa3354528eeebd7328be,data_ai_distance_scaling,data_ai,development,long_history_return,pending,,,
clp-5ad2d2cb1c157b5e0cfe,data_ai_distance_scaling,data_ai,development,irrelevant_invariance,pending,,,
clp-43e51f9fdfbff77efcb9,data_ai_distance_scaling,data_ai,development,scope_invariance,pending,,,
clp-4cc31594e89ebd5f62d0,data_ai_distance_scaling,data_ai,development,future_invariance,pending,,,
clp-4a47bb9c2ab82baf635c,data_ai_distance_scaling,data_ai,development,source_retraction,pending,,,
clp-5910505fecb177df9a04,data_ai_distance_scaling,data_ai,development,unknown_assistance_success,pending,,,
clp-775c4302d8d69715ac5f,data_ai_distance_scaling,data_ai,development,explanation_ineffective,pending,,,
clp-0c8ec0dff65da797281b,data_ai_distance_scaling,data_ai,development,environment_failure,pending,,,
clp-2ef771a93e4d65b5cdc2,data_ai_distance_scaling,data_ai,development,team_artifact,pending,,,
clp-bf15d97294e7d605f500,data_ai_distance_scaling,data_ai,development,current_input_override,pending,,,
clp-5859a5822fac40294611,data_ai_distance_scaling,data_ai,development,unjustified_correct_result,pending,,,
clp-8dc90dda436d670d59f6,data_ai_group_split,data_ai,validation,assisted_success,pending,,,
clp-c507906a3900b386d51c,data_ai_group_split,data_ai,validation,independent_once,pending,,,
clp-6df36c6a9ba819cefb1e,data_ai_group_split,data_ai,validation,repeated_original,pending,,,
clp-67f58e600d3eb8b72ce4,data_ai_group_split,data_ai,validation,novel_transfer_once,pending,,,
clp-d9a9088380d478fe8874,data_ai_group_split,data_ai,validation,gap_unresolved,pending,,,
clp-35d4f57440feddb5cd7f,data_ai_group_split,data_ai,validation,gap_followup_success,pending,,,
clp-3e67978c38403f9a61a7,data_ai_group_split,data_ai,validation,temporary_constraint_active,pending,,,
clp-0c829a868ca84d38722e,data_ai_group_split,data_ai,validation,temporary_constraint_expired,pending,,,
clp-ca44a48c532782b8c452,data_ai_group_split,data_ai,validation,goal_current,pending,,,
clp-aedfc76ee08d8af9df10,data_ai_group_split,data_ai,validation,goal_superseded,pending,,,
clp-9fb9b7af1e015ac0ec33,data_ai_group_split,data_ai,validation,insufficient_evidence,pending,,,
clp-e22272f298ed4ae8d38d,data_ai_group_split,data_ai,validation,long_history_return,pending,,,
clp-49495a546e010136e5a4,data_ai_group_split,data_ai,validation,irrelevant_invariance,pending,,,
clp-fce112437e4731225fd8,data_ai_group_split,data_ai,validation,scope_invariance,pending,,,
clp-33ed92b66f08c62fdad3,data_ai_group_split,data_ai,validation,future_invariance,pending,,,
clp-28e2f5e1222c9b6254af,data_ai_group_split,data_ai,validation,source_retraction,pending,,,
clp-edcd94d150f11184603d,data_ai_group_split,data_ai,validation,unknown_assistance_success,pending,,,
clp-ddd5104a560a80204dcb,data_ai_group_split,data_ai,validation,explanation_ineffective,pending,,,
clp-1bf52d39a5cc528b8ba9,data_ai_group_split,data_ai,validation,environment_failure,pending,,,
clp-72535a9382fa5578dcc8,data_ai_group_split,data_ai,validation,team_artifact,pending,,,
clp-473dac140b1cfa4cb556,data_ai_group_split,data_ai,validation,current_input_override,pending,,,
clp-ab38383e48a712e39254,data_ai_group_split,data_ai,validation,unjustified_correct_result,pending,,,
clp-d8617a1477be8dff64f3,data_ai_imbalance_metrics,data_ai,development,assisted_success,pending,,,
clp-766513bb58cfab94f8f8,data_ai_imbalance_metrics,data_ai,development,independent_once,pending,,,
clp-692e55a16646d06c22db,data_ai_imbalance_metrics,data_ai,development,repeated_original,pending,,,
clp-1a3a16db2cc1dddf55e7,data_ai_imbalance_metrics,data_ai,development,novel_transfer_once,pending,,,
clp-303f1d08aed8e4820873,data_ai_imbalance_metrics,data_ai,development,gap_unresolved,pending,,,
clp-86b61659815321d24f5f,data_ai_imbalance_metrics,data_ai,development,gap_followup_success,pending,,,
clp-0e857d212d14652b308f,data_ai_imbalance_metrics,data_ai,development,temporary_constraint_active,pending,,,
clp-f7940a5412973ef50e77,data_ai_imbalance_metrics,data_ai,development,temporary_constraint_expired,pending,,,
clp-4c3ddcc4ba0cadbc4eea,data_ai_imbalance_metrics,data_ai,development,goal_current,pending,,,
clp-7c7871d0f263840727dd,data_ai_imbalance_metrics,data_ai,development,goal_superseded,pending,,,
clp-c5eb16384145c492818d,data_ai_imbalance_metrics,data_ai,development,insufficient_evidence,pending,,,
clp-a86c7652c0113a3252b0,data_ai_imbalance_metrics,data_ai,development,long_history_return,pending,,,
clp-c63e1873fee7243e484c,data_ai_imbalance_metrics,data_ai,development,irrelevant_invariance,pending,,,
clp-fc3a08d645e8123c234e,data_ai_imbalance_metrics,data_ai,development,scope_invariance,pending,,,
clp-125108d360d9ad3d4619,data_ai_imbalance_metrics,data_ai,development,future_invariance,pending,,,
clp-82b2b1bf71bb4c8fe9c3,data_ai_imbalance_metrics,data_ai,development,source_retraction,pending,,,
clp-742a1081c15882f1ba0c,data_ai_imbalance_metrics,data_ai,development,unknown_assistance_success,pending,,,
clp-b56eb4a1543287b6ab7c,data_ai_imbalance_metrics,data_ai,development,explanation_ineffective,pending,,,
clp-f7c41c4fb4b57004ebf7,data_ai_imbalance_metrics,data_ai,development,environment_failure,pending,,,
clp-28a211b813f88035fac2,data_ai_imbalance_metrics,data_ai,development,team_artifact,pending,,,
clp-d93792e5edad10447885,data_ai_imbalance_metrics,data_ai,development,current_input_override,pending,,,
clp-e62a12dd9997c826fa00,data_ai_imbalance_metrics,data_ai,development,unjustified_correct_result,pending,,,
clp-bcd55309ce8a03eeec1c,data_ai_preprocessing_leakage,data_ai,development,assisted_success,pending,,,
clp-9f5f2179fa2dddfd68dc,data_ai_preprocessing_leakage,data_ai,development,independent_once,pending,,,
clp-202e6a845e924b17385c,data_ai_preprocessing_leakage,data_ai,development,repeated_original,pending,,,
clp-64865842bdcb0915c0b8,data_ai_preprocessing_leakage,data_ai,development,novel_transfer_once,pending,,,
clp-8ae735c4a14aba5e6489,data_ai_preprocessing_leakage,data_ai,development,gap_unresolved,pending,,,
clp-ca6f9646f9c7c430dd58,data_ai_preprocessing_leakage,data_ai,development,gap_followup_success,pending,,,
clp-51da72984ec274cc20b0,data_ai_preprocessing_leakage,data_ai,development,temporary_constraint_active,pending,,,
clp-5801bbcc0041c40a013f,data_ai_preprocessing_leakage,data_ai,development,temporary_constraint_expired,pending,,,
clp-5cbcb370efe51ea4c690,data_ai_preprocessing_leakage,data_ai,development,goal_current,pending,,,
clp-f7bce0ffc38eb090003b,data_ai_preprocessing_leakage,data_ai,development,goal_superseded,pending,,,
clp-ac0bf6966afe5e309f85,data_ai_preprocessing_leakage,data_ai,development,insufficient_evidence,pending,,,
clp-67e532f74e2487e144b8,data_ai_preprocessing_leakage,data_ai,development,long_history_return,pending,,,
clp-4259d14ff9e3aa5d43b3,data_ai_preprocessing_leakage,data_ai,development,irrelevant_invariance,pending,,,
clp-4da3fb5a78e62b61183a,data_ai_preprocessing_leakage,data_ai,development,scope_invariance,pending,,,
clp-20832c41cc29f6b22477,data_ai_preprocessing_leakage,data_ai,development,future_invariance,pending,,,
clp-137cf3c96dd519b9c9b4,data_ai_preprocessing_leakage,data_ai,development,source_retraction,pending,,,
clp-cc3182dcdcd7df040265,data_ai_preprocessing_leakage,data_ai,development,unknown_assistance_success,pending,,,
clp-e20606bf25bccf4be6fc,data_ai_preprocessing_leakage,data_ai,development,explanation_ineffective,pending,,,
clp-11683caf50bf91d0dcb4,data_ai_preprocessing_leakage,data_ai,development,environment_failure,pending,,,
clp-3edff89d9b0e056e7d31,data_ai_preprocessing_leakage,data_ai,development,team_artifact,pending,,,
clp-65a14053bfe7c345a4cc,data_ai_preprocessing_leakage,data_ai,development,current_input_override,pending,,,
clp-416126a3846bc97e8433,data_ai_preprocessing_leakage,data_ai,development,unjustified_correct_result,pending,,,
clp-78c1c25d96f92ee5bb79,data_ai_quality_contract,data_ai,holdout,assisted_success,pending,,,
clp-1f4b81d70116f642b5c1,data_ai_quality_contract,data_ai,holdout,independent_once,pending,,,
clp-ec4253b72e1350687b51,data_ai_quality_contract,data_ai,holdout,repeated_original,pending,,,
clp-876ecdbfad6fd4ed37a7,data_ai_quality_contract,data_ai,holdout,novel_transfer_once,pending,,,
clp-c414fd4eb8a7d196f564,data_ai_quality_contract,data_ai,holdout,gap_unresolved,pending,,,
clp-8c34643353a9f60ee277,data_ai_quality_contract,data_ai,holdout,gap_followup_success,pending,,,
